diseasename,place,country,lat,lon,summary,issue_date,region/city,region/city lat,region/city lon,cases,deaths,total cases,total deaths
Crimean-Congo Hemorrhagic Fever,"Sindh, Pakistan",Pakistan,26,69,"A new case of Congo-Crimean hemorrhagic fever (CCHF) has been admitted to Jinnah Postgraduate Medical Centre (JPMC) The patient has been moved to an isolation ward in the Medical Intensive Care Unit (ICU) to prevent other patients from contracting the viral infection. So far 14 CCHF patients had been brought to the hospital, and 5 of them had died. 10 people have died at various Karachi hospitals because of CCHf this year.",2018-09-22,Jinnah Postgraduate Medical Centre,24.85223043,67.04427518,1,5,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever has reportedly hit northern parts of Pakistan. 2 nurses at the Shifa International Hospital were found to be suffering from the same disease. The disease originated in Africa in 1967 and is still common there. A doctor at the hospital said there was no chance of an epidemic spreading in Islamabad.,2001-04-04,Faisalabad,31.413,73.178,2,0,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Deaths in Islamabad and Peshawar Confirmed as Cases of Crimean-Congo hemorrhagic fever (CCHF) 2 people who died in Pakistan and whose blood samples had been sent to the NIV were victims of CCHF. The NIH had sent the blood samples of the 3, which confirmed 3, that the [s from the 2 deceased patients were that the virus-positive]. It, however, was not available for confirmation of the virus.",2001-04-24,Islamabad,33.72148,73.04329,,2,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever is suspected in Pakistan. 2 people have died and 4 more are fighting for their lives in Quetta. The same acute hemorrhagic fever claimed 18 lives in Baluchistan late last year.Laboratory confirmation is lacking; the diagnosis appears to be lacking.,2001-05-31,Quetta,30.18414,67.00141,4,2,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Only 35 cases of the virus have been reported in the Pakistani-Afghan frontier region and only 4 people are currently being treated. ""Nothing suggests it will get worse,"" said Ian Simpson of the WHO. The WHO also dismissed rumors that the disease was being spread as biological warfare.",2001-10-10,,,,35,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever in Pakistan is suspected to be the cause of 3 deaths. A female physician contracted the fever while taking care of a female patient brought in from Az Kashmir. She was given intravenous antiviral medication and support but developed uncontrolled hemorrhage from multiple sites and died.,2002-02-28,,,,,3,,
Crimean-Congo Hemorrhagic Fever,"Balochistan, Pakistan",Pakistan,28,66,"2 people, including a staffer of Roznama Express Newspaper, have died due to [Crimean-] Congo virus in Quetta. The death toll from the virus in the city has now risen to 4 over the last 3 months. Crimean-Congo hemorrhagic fever (CCHF) is a widespread tick-borne viral disease that affects both wild and domestic animals.",2014-10-16,Quetta,30.18414,67.00141,,2,,
Crimean-Congo Hemorrhagic Fever,"Quetta, Balochist?n, Pakistan",Pakistan,30,67,"11 cases of suspected CCHF have been admitted to the TB hospital in Quetta [Balochistan] since 1 Oct [2015]. All had a history of animal handling due to Eidul Azha [Islamic Feast of Sacrifice]. Of these, 3 of them died and one is still in critical condition. Samples for C CHF tests have been dispatched to NIH.",2015-10-07,Quetta,30.18414,67.00141,11,3,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Crimean-Congo hemorrhagic fever (CCHF) was first reported in Pakistan in 1970. Outbreaks were reported in Baluchistan Province during the dry season in 1976, 1987, and 1994. Total cases for 2000 to 2001 are estimated at 115, with 34 to 39 deaths.",2000-12-31,,,,,,115,34
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Hospitals in southwestern Pakistan put on high alert after 3 people from one family die of suspected Crimean-Congo hemorrhagic fever. The disease is spread by ticks from livestock and can be transmitted by infected people through their blood, saliva or droplets from sneezing. CCHF is endemic in this region.",2004-05-12,,30,70,,3,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"3 people have died and 4 others have been admitted to hospital with suspected Crimean-Congo hemorrhagic fever in Baluchistan. The outbreak was not in Quetta, but is in rural areas. Outbreak is due to tick infestation of local livestock. About 30 per cent of people who contract the disease can die.",2004-05-18,Balochistan,28.47849,65.64355,4,3,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A 4th Pakistani has died of suspected Crimean-Congo Hemorrhagic fever virus (CCHFV) infection in the southwestern city of Quetta. CCHF is a tick-borne virus stemming from livestock that is transmitted into open cuts and sores. It causes massive bleeding through the nose, mouth and ears.",2004-06-08,,,,,4,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Crimean-Congo hemorrhagic fever virus (CCHFV) has once again struck the interior parts of Baluchistan. 4 nomads including a baby have fallen                 prey to the disease in past few days. Medical facilities are not available in this remote region, and as a consequence the death toll may rise.",2004-06-21,Balochistan,28.47849,65.64355,,4,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"The patient was pronounced dead at Fatima Jinnah Chest and General Hospital in Quetta, taking the toll to 3 in 3 days. This is the 3rd reported fatal CCHF case from Balochistan that ProMED-mail has posted this year (2015) In addition, there is a recent report of 11 cases of suspected C CHF that have been admitted to the TB hospital in Queta [Balochistan] since 1 Oct 2015. Of these, 3 of them died, and one is still in critical condition. Samples for CCHf tests have been dispatched to NIH.",2015-10-07,Quetta,30.18414,67.00141,0,3,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,12-year-old girl hospitalized in Islamabad with CCHFV infection. Girl tested positive for Crimean-Congo hemorrhagic fever virus infection. Hospital administration closed the emergency ward for 2 days because of the presence of the patient. The girl was moved to the Pakistan Institute of Medical Sciences.,2005-04-25,Islamabad,33.72148,73.04329,1,,,
Crimean-Congo Hemorrhagic Fever,"Sindh, Pakistan",Pakistan,26,69,"A 19-year-old man died from Congo fever at Jinnah Postgraduate Medical Centre (JPMC) on [Mon 1 Apr 2019], after which the death toll due to the fever mounted to 3 this year [2019]. CCHF is a tick-borne viral disease that is mainly contracted by people who deal with cattle and livestock. The symptoms of Congo virus include backache, joint pain, pain in the abdomen, high fever and bleeding from any part of the body.",2019-04-02,Jinnah Postgraduate Medical Centre,24.85223043,67.04427518,,1,,3
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"7 members of a family suspected of having been infected were taken to Islamabad for specialized treatment, adding that one of them perished on the way. The victims were suffering from fever and hematuria and developed hemorrhagic spots on their bodies. Doctors say its onset is sudden with symptoms including headache, high pain, joint pain, stomach pain, vomiting and flushed face.",2006-05-21,Islamabad,33.72148,73.04329,7,1,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"From 1 Jan 2013 to 9 Jun 2013, a total of 16 suspected cases of Crimean-Congo hemorrhagic fever (CCHF) were reported from Pakistan. In 2012, the country faced a similar outbreak of CCHF with 61 suspected cases, including 17 deaths (case-fatality rate 27.8 percent) reported from the disease. The virus is transmitted to people from ticks and livestock animals.",2012-12-31,,,,61,17,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"From 1 Jan 2013 to 9 Jun 2013, a total of 16 suspected cases of Crimean-Congo hemorrhagic fever (CCHF) were reported from Pakistan. In 2012, the country faced a similar outbreak of CCHF with 61 suspected cases, including 17 deaths (case-fatality rate 27.8 percent) reported from the disease. The virus is transmitted to people from ticks and livestock animals.",2013-06-20,,,,16,,,
Crimean-Congo Hemorrhagic Fever,"Haz?ra Division, North West Frontier Province, Pakistan",Pakistan,35,73," Crimean-Congo hemorrhagic fever (CCHF) has claimed the lives of 2 people hailing from Havelian, a suburb of Abbottabad. An emergency meeting, headed by the Hazara commissioner, has alerted the district administrations of all the six districts and Health and Livestock Departments to take the remedial steps.",2013-09-14,Havelian,34.04661038,73.14131153,,2,,
Crimean-Congo Hemorrhagic Fever,"Haz?ra Division, North West Frontier Province, Pakistan",Pakistan,35,73,"A man from Abbottabad has died of Crimean-Congo haemorrhagic fever (CCHF) at the Pakistan Institute of Medical Sciences. His father and brother have been admitted to the hospital after succumbing to the same tick-borne zoonotic viral disease. One of the deceased's brothers had already lost his life to CCHF, which, according to the WHO, has a high fatality rate (10-40 per cent)",2013-09-14,Abbottabad,34.18557,73.239542,2,1,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Four butchers died after being infected with Crimean-Congo hemorrhagic fever virus [CCHF] virus in September 2013. People in areas of Punjab, K-P and Balochistan have been exposed to the deadly virus. People think that because of its name, CCHF virus cannot be found in Pakistan, which is an ignorant assumption.",2013-10-07,,,,,4,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"3 patients believed to have Crimean-Congo hemorrhagic fever (CCHF) died at Pims in April and May this year. CCHF virus is endemic in Africa, the Balkans, the Middle East, and Asia, in countries south of the 50th parallel north. Cases occur with some frequency in Pakistan.",2014-05-24,Pims,33.70420458,73.05277857,,3,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,Crimean-Congo hemorrhagic fever (CCHF) has been reported in two cases in Pakistan. CCHF virus is transmitted to livestock via ticks. People usually acquire infection with this virus from infected livestock. No more cases were identified in the family or surrounding area.,2014-05-26,,,,2,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Crimean Congo hemorrhagic fever (CCHF) is endemic in the region of northwestern Pakistan/Afghanistan and neighboring Iran. Only the 2nd case was laboratory confirmed, but the bleeding symptoms of the others strongly suggested CCHF. The 3 patients are in addition to the 3 reported in previous posts (see ProMED-mail archives below)",2014-05-28,,,,6,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"An Afghan national has died of Crimean-Congo hemorrhagic fever (CCHF) in a hospital in Quetta. According to the news report above, 9 patients have been admitted in the same hospital. So far in 2015, a total of 80 cases including 15 deaths have been reported. The source of the infection has not been mentioned in the report.",2015-10-07,Quetta,30.18414,67.00141,9,0,80,15
Crimean-Congo Hemorrhagic Fever,"Khyber Pakhtunkhwa, Pakistan",Pakistan,34,73,"A patient with Crimean-Congo haemorrhagic fever (CCHF) passed away at a Peshawar hospital on Saturday. 11 Congo virus patients, including 6 from Afghanistan and one staffer, have been brought to HMC. Of these 11,  5 have died. CCHF is primarily transmitted to people from ticks and livestock.",2014-07-16,Peshawar,34.008,71.57849,1,5,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"The number of CCHF virus infections has increased from 8 on 12 Jul 2014 to 11 infections 4 days later, and now there are 12 on 22 Jul 2014. The virus can cause severe viral hemorrhagic fever outbreaks, with a case fatality rate of 10-40 per cent. It is not clear how many of these infections were acquired in Pakistan or in Afghanistan.",2014-07-22,,,,12,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"Crimean-Congo hemorrhagic fever (CCHF) is endemic in Pakistan and Afghanistan. 12 patients have been brought to Hayatabad Medical Complex (HMC) hospital Peshawar so far this year, of whom 6 have died. 4 private rooms at HMC have been declared isolation units for CCHF patients and any individual brought to the casualty department with the symptoms will be admitted to the isolation ward.",2014-07-24,Peshawar,34.008,71.57849,12,6,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"At least 4 people, including a woman, were infected with the virus in the small village of Killi Blump near Meena Bazaar, located 40km from Zhob city. Western Pakistan and its border with Afghanistan are endemic areas for Crimean Congo hemorrhagic fever (CCHF) virus. The virus is primarily transmitted to people from ticks and livestock animals.",2014-08-17,Meena Bazaar,30.82949021,76.71322389,4,,,
Crimean-Congo Hemorrhagic Fever,"Punjab Province, Pakistan",Pakistan,31,72,"A 62-year-old male patient was brought to the hospital 4 days ago from Choha Saiden Shah in Chakwal (Punjab) with a high fever. The hospital suspected it could be dengue fever and sent samples for testing to the National Institute of Health (NIH) The results showed that the patient was suffering from Crimean-Congo haemorrhagic fever (CCHF) CCHF is now endemic in Pakistan, and 40-60 cases and isolated outbreaks are reported.",2016-07-31,Saiden Shah,30.79389,73.117,1,,,
Crimean-Congo Hemorrhagic Fever,"Punjab Province, Pakistan",Pakistan,31,72,"A woman suffering from Crimean Congo Hemorrhagic Fever (CCHF) died of the disease at Shifa International Hospital (SIH) here [Fri 6 Apr 2018]. This is the 1st confirmed case of CCHF in Pakistan this year. The case originated from southern Punjab region, with the history of animal handling in the case.",2018-04-07,Shifa International Hospital,33.67796738,73.06537413,1,1,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A 29-year-old man has been diagnosed with Congo-Crimean hemorrhagic fever. He has been admitted to an isolation ward at Jinnah Postgraduate Medical Centre. CCHF is a lethal viral infection that is transmitted to humans from animals. The National Institute of Health (NIH) has issued an advisory, calling for different stakeholders to take timely steps for the prevention and control of Congo virus.",2019-08-10,Jinnah Postgraduate Medical Centre,24.85223043,67.04427518,1,,,
Crimean-Congo Hemorrhagic Fever,"Marriabad, Balochistan, Pakistan",Pakistan,30,67,"Another patient of Crimean-Congo hemorrhagic fever (CCHF) virus expired during treatment at hospital here [Quetta] on [Tue 13 Oct 2015], taking the death toll to 17 in the country. To date, 4 people have died of the dreadful Congo virus in Quetta after Eidul Azha [Festival of the Sacrifice], while the toll due to the virus across the country has climbed to 17. 3 Congo affected patients were under treatment at Fatima Jinnah Hospital Quetta and 9 in other hospitals across Pakistan.",2015-10-14,Quetta,30.18414,67.00141,,4,,17
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"At least 7 people have died of Crimean Congo Hemorrhagic Fever (CCHF) in the Aga Khan Private hospital in Karachi, Pakistan. The hospital has confirmed the death of only 2 people, but sources say not less than 7 have died in the last few weeks. The cases are all those suffering from high fever and being kept in isolation.",2000-11-08,Karachi,24.8608,67.0104,0,7,,
Crimean-Congo Hemorrhagic Fever,"Karachi, Sindh, Pakistan",Pakistan,25,67," Crimean-Congo hemorrhagic fever (CCHF) is a tick-borne viral disease, which can afflict domestic and wild animals and may also affect humans. The disease got its name after it was first described in Crimea in 1944 and later found in Congo, caused by the same pathogen. Nearly 50 cases of the disease have so far been reported from different parts of the country this year.",2014-10-11,,,,,,50,
Crimean-Congo Hemorrhagic Fever,"Loralai District, Balochist?n, Pakistan",Pakistan,30,69,"A patient admitted on suspicion of Congo virus [Crimean-Congo hemorrhagic fever, CCHF] in Fatima Jinnah Chest Hospital Quetta passed away Saturday noon. In Pakistan, overall 11 cases of this virus have been reported in 2017, of which 4 patients recovered and 2 and one died from the confirmed and suspected virus, respectively.",2017-05-08,Quetta,30.18414,67.00141,1,,11,3
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"More than 40 people have been diagnosed with hemorrhagic fever in Karachi. Doctors in Karachi have been ordered to take special protective measures. The disease can spread by massive bleeding, with which patients with the fever suffer. A woman doctor, who has died, was admitted to AKUH bleeding profusely.",2005-11-27,Karachi,24.8608,67.0104,40,1,,
Crimean-Congo Hemorrhagic Fever,"Tharp?rkar, Sindh, Pakistan",Pakistan,26,69,"Crimean-Congo hemorrhagic fever (CCHF) in various parts of Pakistan are continuing this year (2014) 2 deaths have been reported in Karachi, with a young butcher from the city's central district succumbing to the virus on 22 Aug [2014]. 16 CCHF cases had been reported just at Aga Khan University laboratories across Pakistan.",2014-11-22,,,,16,2,,
Crimean-Congo Hemorrhagic Fever,"Karachi, Sindh, Pakistan",Pakistan,25,67,"The 2nd Congo virus [Crimean-Congo hemorrhagic fever] case of the year [2014] recently surfaced in the city [Karachi, Sindh province]. Luckily, the patient is said to be in a stable condition. The history of the latest patient shows that he used to play in a ground located near a cattle pen. Health care providers fear that the situation seems very critical as 2 cases have surfaced within 15 days and thousands of animals are being brought to the city every day.",2014-09-13,Karachi,24.8608,67.0104,3,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A 51-year-old man died in Karachi due to the deadly, tick-borne viral disease. This was the 3rd case reported in the city this year, with 2 of them fatal. The man's exposure may have been via tick bite or exposure to the blood of an infected animal.",2014-09-29,Karachi,24.8608,67.0104,1,2,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"2 young men and a 35-year-old woman in Karachi have Congo-Crimean haemorrhagic fever (CCHF) CCHF virus is a tickborne virus in the genus _Nairovirus_, family _Bunyaviridae. The virus can cause severe viral hemorrhagic fever outbreaks, with a case fatality rate of 10-40 per cent.",2014-10-31,Karachi,24.8608,67.0104,3,,,
Crimean-Congo Hemorrhagic Fever,"Tharp?rkar, Sindh, Pakistan",Pakistan,26,69,"A 50-year-old resident of Chahcro, had been admitted to a private hospital in the city after his blood samples tested positive for the Crimean-Congo haemorrhagic fever (CCHF) virus. 2 deaths have been reported in Karachi, with a young butcher from the city's central district succumbing to the virus on [22 Aug 2014].",2014-11-25,Karachi,24.8608,67.0104,1,2,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A man, a man, 38 years old, with co-morbidity (viral hepatitis C) from Jalalabad [Nangarhar province], Afghanistan, with a short history [4 days only] of high grade fever and bleeding from the mouth and nose, landed at Northwest General private hospital Peshawar [Khyber-Pakhtunkhwa province, Pakistan] on 5 May 2015. He was treated as a chronic liver disease patient and a splenectomy was planned to correct the thrombocytopenia. However, this patient was transferred to Maroof International Hospital Islamabad [Pakistan] on 7 May [2015] on the request of relatives, but against",2015-05-15,Peshawar,34.008,71.57849,1,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A 35-year-old man hailing from Quetta died of the Congo Crimean Haemorrhagic Fever (CCHF) at a private hospital in Karachi on [Wed 13 Sep 2017]. Another Congo fever patient - a teenager from Queta - was admitted to the Jinnah Postgraduate Medical Centre's intensive care unit in critical condition on [Thu 14 Sep 2017], officials of the Sindh Health Department told The News. 4 people brought from Balochistan - all residents of Quetta's Satellite Town - for treatment of Congo virus have died at different hospitals in Karachi over the past 6 months. A highly contagious viral disease caused by a tick, Congo Crimean Hemorrhagen Fever",2017-09-16,Quetta,30.18414,67.00141,1,1,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"The man, aged 37, was admitted to a private hospital with a severe fever, shortness of breath and haemorrhage 2 days before he was pronounced dead by doctors on Saturday. ""It was the 1st case of CCHF in Sindh in 2015,"" said an official in the provincial health department. The victim caught the viral disease through a tick found on animals.",2015-05-24,Sindh,26.13333,68.76667,1,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A 45 year old man from the village Beyali, Mansehra, an animal trader, became ill with fever and loose motions [bowels?] on 8 May 2015. He was treated by local doctors in the village. On 17 May 2015, he was shifted to the Pakistan Institute of Medical Sciences Islamabad for further treatment, where he was kept in ICU. A sample for Crimean-Congo haemorrhagic fever [CCHF] serology was sent on [20? May 2015]. He expired on 21 May 2015 and the case was declared CCHF positive by the National Institute of Health on 24 May2015. The circumstances under which the patient acquired his CCH",2015-06-02,Beyali,37.45,39.25,1,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,"A 13-year-old Afghan national is suspected to be infected with the Crimean-Congo haemorrhagic fever [CCHF], commonly known as Congo virus. The number of patients from Afghanistan arriving in the city for medical treatment has increased over the last 2 months. At least 9 suspected virus-carriers have been brought to the provincial capital [Peshawar] for treatment during the last two months.",2015-06-28,Peshawar,34.008,71.57849,10,,,
Crimean-Congo Hemorrhagic Fever,"Balochistan, Pakistan",Pakistan,28,66,"A teenager from Quetta has contracted the Crimean-Congo haemorrhagic fever (CCHF) and is being treated in the isolation ward of the Jinnah Postgraduate Medical Centre. The CCHF is caused when a person comes into contact with the deadly virus that is found in ticks present on the bodies of cattle and some other animals. Quetta is a hub of the Congo virus, as several people contract the viral disease due to movement of cattle from Afghanistan.",2018-05-26,Quetta,30.18414,67.00141,1,,,
Crimean-Congo Hemorrhagic Fever,"Sindh, Pakistan",Pakistan,26,69,"Officials at Jinnah Postgraduate Medical Centre (JPMC) confirmed on [Fri 31 Aug 2018] a second patient from Quetta, Balochistan, was affected by Congo Crimean Hemorrhagic Fever [CCHF] adding that now 2 patients suffering from the disease are under treatment at the health facility.",2018-09-03,Quetta,30.18414,67.00141,1,,,
Crimean-Congo Hemorrhagic Fever,Pakistan,Pakistan,30,69,A patient died at the Hayatabad Medical Complex here on Saturday [1 Aug 2015] from Crimean-Congo hemorrhagic fever virus [CCHFV]. There are 3 patients being treated at the hospital from the virus [infection]. The patient who died is from Afghanistan. It is not clear whether the other 2 patients are also from there or are from Pakistan.,2015-08-03,Hayatabad Medical Complex,33.99244,71.45033,3,1,,
Crimean-Congo Hemorrhagic Fever,"Khyber Pakhtunkhwa, Pakistan",Pakistan,34,73,"2 new cases of Crimean-Congo hemorrhagic fever (CCHF) have been diagnosed at a hospital in Peshawar, Khyber-Pakhtunkhwa. The patients are residents of 2 cities, Peshawar and Kohat. The source of the infection for the cases is not mentioned in the news report.",2015-09-13,Peshawar,34.008,71.57849,2,,,
Crimean-Congo Hemorrhagic Fever,"Khyber Pakhtunkhwa, Pakistan",Pakistan,34,73,The Crimean-Congo hemorrhagic fever (CCHF) virus is endemic in Pakistan. Cases of CCHF occurred in Khyber Pakhtunkhwa and in Sindh provinces this year (2015) and in various parts of Pakistan last year (2014) The 12-year-old is reported to be out of danger while the other patient is still in critical condition.,2015-09-15,,,,1,,,
